OA11CD,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,Total_Population_census,Total_Households_census,Total_Population_16_and_over_census,Total_Population_16_to_74_census,Total_Population_3_and_over_census,RM2018_01,RM2018_02,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_07,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_32,RM2018_33,RM2018_34,RM2018_35,RM2018_36,RM2018_40,RM2018_41,RM2018_42,RM2018_43
E00000241,283,112,195,188,266,52,315,132,222,206,293,34,51,88,35,14,0,0,61,53,4,13,28,11,107,4,40,62,14,27,4,7,37,14,3,11,92,8,0,102.0131569,17,70,12,39,17,2,32,10
E00000242,311,109,206,199,291,64,272,107,190,181,252,32,69,98,28,29,0,0,50,62,0,19,21,16,128,5,46,59,18,33,13,11,17,16,1,21,67,20,0,95.86120335,18,46,19,43,8,1,38,11
E00000243,524,149,313,309,499,151,476,153,289,287,429,54,143,160,53,13,0,0,55,88,15,30,21,22,247,6,107,56,21,68,3,6,26,17,3,17,122,10,0,49.9121873,32,76,30,65,17,1,61,38
E00000244,362,132,236,223,344,87,339,133,229,203,310,37,82,106,56,25,1,0,107,63,8,41,13,12,99,5,47,68,21,36,8,11,28,22,4,31,87,14,0,85.16782894,33,61,18,55,12,3,38,18
E00000245,427,120,249,247,411,135,393,121,226,226,360,37,128,123,52,7,0,0,68,72,7,27,25,14,184,11,95,41,15,51,4,2,20,22,0,11,99,10,0,51.71810927,27,63,35,49,16,3,40,28
E00000246,360,103,256,244,341,50,346,109,258,237,327,35,64,124,43,27,0,0,54,90,95,43,17,12,20,4,40,58,21,31,12,7,18,10,3,59,8,32,0,97.13931462,38,58,28,86,4,10,7,2
E00000247,458,128,346,331,434,71,393,121,267,250,362,34,74,180,50,42,0,0,54,136,104,67,24,14,33,0,51,73,30,42,18,9,16,7,4,67,4,55,0,71.3333725,32,56,22,81,8,9,12,7
E00000248,230,94,166,163,218,48,350,131,237,232,328,17,43,73,30,8,0,0,38,53,1,10,7,11,99,2,26,59,18,22,3,3,35,9,1,6,80,7,0,80.35868826,30,72,17,56,12,1,13,12
E00000249,343,137,254,229,319,45,285,140,226,203,270,35,51,121,31,52,2,0,81,78,34,34,30,14,55,10,36,95,18,33,11,36,30,8,0,29,66,42,0,129.740381,21,41,18,56,10,4,44,8
E00000250,289,83,178,174,272,72,445,161,299,296,414,31,73,101,25,10,0,0,13,59,33,21,19,9,109,1,56,31,11,33,4,1,15,14,2,15,39,26,0,48.11581153,26,83,23,74,6,1,22,9
E00000251,54,32,45,44,53,6,417,162,269,264,384,3,6,27,7,3,0,0,20,7,1,2,7,0,17,0,4,25,4,4,1,2,18,3,0,5,25,1,0,105.2959307,27,79,23,55,1,2,9,1
E00000252,383,132,284,265,360,56,336,127,271,254,322,38,58,136,42,36,3,0,86,108,23,54,34,16,37,9,44,81,29,34,15,9,28,11,4,69,8,53,0,79.30679156,22,75,31,76,9,6,8,4
E00000253,404,133,259,255,381,92,353,136,255,244,323,42,98,155,39,19,1,0,65,107,50,37,35,9,80,6,75,63,16,51,5,9,33,14,5,37,53,40,0,75.1606741,14,68,21,77,17,2,36,13
E00000254,22,13,17,17,20,2,340,124,212,208,305,2,3,10,1,0,0,0,4,2,2,2,1,0,9,0,2,10,2,1,0,0,8,1,0,0,10,3,0,60.9918029,9,59,22,44,0,0,0,2
E00000255,318,127,234,220,304,62,377,125,246,241,334,22,60,114,37,27,4,0,77,71,33,41,15,16,36,5,48,80,21,35,13,12,34,11,1,63,15,48,0,64.22529495,36,68,25,75,9,5,14,12
E00000256,180,66,131,126,174,38,385,147,258,254,360,10,32,67,23,12,0,0,40,23,10,23,11,11,48,7,23,38,14,18,4,6,14,8,1,19,32,14,0,86.22954027,25,69,32,64,10,2,9,7
E00000257,390,128,296,282,370,63,330,133,244,218,308,31,60,132,58,27,1,0,92,104,33,43,27,17,41,13,48,79,30,40,10,13,26,8,1,53,49,25,0,118.4177185,29,72,22,42,6,7,30,8
E00000258,24,20,22,22,24,1,330,124,207,206,299,0,2,15,2,0,0,0,4,6,1,2,1,0,9,0,1,18,3,0,0,0,15,0,0,20,0,0,0,60.42787671,22,64,22,42,0,0,0,0
E00000259,286,112,210,204,270,40,316,105,217,212,292,28,46,112,33,21,0,0,70,71,18,45,11,15,39,3,32,68,26,27,6,11,25,13,2,59,4,49,0,55.98871323,26,61,24,52,14,3,6,0
E00000260,257,89,178,164,249,54,307,112,220,204,287,22,53,89,25,18,3,0,52,48,13,26,38,12,57,2,42,50,18,25,5,10,17,9,2,27,48,14,0,74.1332183,19,56,20,55,6,4,25,12
E00000261,245,112,181,169,234,45,242,105,179,167,225,19,41,78,46,19,3,0,77,48,18,15,27,7,40,3,30,74,19,22,8,8,39,11,1,49,39,22,0,112.5356536,17,49,14,39,7,4,28,5
E00000263,604,204,415,397,579,128,596,215,391,365,550,52,129,189,83,40,1,12,110,144,31,52,22,15,194,12,91,113,46,58,11,19,37,26,4,46,78,80,0,83.65710934,48,90,24,103,12,4,53,23
E00000264,324,92,210,206,305,80,395,126,232,228,361,34,76,98,50,9,0,0,36,72,8,19,30,10,135,6,60,43,23,38,4,3,13,10,1,5,79,8,0,50.97621306,26,66,17,52,7,4,21,17
E00000265,321,134,233,202,311,55,294,133,227,200,278,23,60,87,32,57,4,0,119,47,8,7,15,15,98,6,28,89,17,30,10,40,22,12,3,41,48,45,0,113.7300214,19,70,19,47,13,3,40,8
E00000266,381,129,295,279,365,61,344,128,255,234,330,31,49,112,53,36,4,0,214,60,4,13,9,4,55,6,27,85,42,30,16,15,12,12,1,69,39,20,0,102.5763852,30,85,26,46,3,5,28,13
E00000267,315,114,238,224,296,47,313,110,233,217,291,27,44,95,51,29,3,0,141,65,9,19,0,3,69,4,20,68,27,27,11,10,20,14,4,65,30,19,0,86.9712205,27,83,18,49,8,6,19,6
E00000268,363,145,261,239,342,64,349,136,251,235,332,39,58,98,59,38,4,0,197,65,6,7,6,7,57,10,22,95,36,29,11,28,20,19,0,59,40,45,0,108.0019271,39,115,16,37,14,4,41,10
E00000269,421,137,297,285,400,87,392,135,289,270,370,38,75,113,58,32,1,0,199,56,16,15,9,7,80,15,35,74,32,43,14,10,18,17,2,74,38,25,0,101.6415801,48,86,33,51,8,4,24,16
E00000270,408,123,289,274,390,88,379,124,262,243,353,36,76,126,52,29,3,0,185,93,6,22,24,14,46,8,45,64,29,45,12,10,13,13,1,63,36,24,0,61.68240375,20,100,17,45,7,4,23,16
E00000271,349,110,248,240,334,70,318,111,226,215,302,27,62,99,53,25,1,0,150,63,8,13,11,3,77,14,31,60,26,41,16,4,14,7,1,57,28,25,0,69.8314087,27,76,27,50,6,5,15,8
E00000272,407,132,296,278,395,82,355,132,256,230,338,24,80,116,66,41,3,0,182,100,6,13,8,5,76,6,32,76,31,42,18,10,17,11,1,79,36,17,0,83.01506297,33,82,24,35,3,3,22,8
E00000273,379,112,260,243,358,81,306,109,234,215,296,36,77,109,50,34,2,0,167,85,3,8,18,15,63,4,41,58,28,45,16,7,7,6,2,61,33,17,0,105.9438804,32,84,10,42,5,6,24,16
E00000274,333,108,232,220,317,67,321,109,221,205,304,33,63,101,29,34,1,0,157,81,0,1,8,2,73,7,33,56,23,33,11,12,10,13,4,53,38,17,0,84.16996439,25,84,13,34,7,3,18,9
E00000275,381,158,303,270,375,57,356,165,282,241,340,14,59,107,50,67,7,1,197,64,12,18,25,5,46,3,26,118,27,27,18,43,30,9,3,55,47,51,0,174.5348197,30,94,15,39,10,9,52,8
E00000276,577,193,395,364,539,112,503,193,356,326,468,65,112,162,83,49,5,42,320,55,7,12,20,14,132,11,31,105,42,54,9,10,44,28,1,16,30,145,0,117.0020735,42,126,31,59,17,3,63,27
E00000277,360,132,261,256,336,59,331,136,231,227,307,40,53,114,54,20,0,0,144,82,7,11,12,2,75,15,22,78,37,34,8,6,27,19,0,36,46,49,0,82.27104291,25,86,26,56,7,6,25,2
E00000278,325,114,230,217,305,60,285,106,222,208,276,33,57,103,41,26,1,0,125,66,2,19,13,10,71,12,35,62,23,35,14,8,17,14,1,40,21,51,0,102.2990411,27,59,14,49,12,8,26,5
E00000279,218,107,151,146,204,36,219,105,157,153,196,28,39,71,35,14,0,0,67,52,0,4,6,8,65,9,17,64,12,21,3,8,41,18,0,25,2,80,0,85.17152241,12,59,10,40,15,5,20,8
E00000280,268,97,192,184,255,51,249,100,182,172,231,27,45,87,24,23,2,0,115,58,13,5,8,6,53,6,30,57,17,24,12,9,19,14,2,37,31,29,0,107.6990764,26,64,22,26,8,5,26,6
E00000282,327,114,246,235,316,52,314,114,230,214,294,20,54,103,40,25,2,0,152,63,9,12,17,2,53,10,24,67,29,32,11,12,15,12,2,54,39,20,0,82.21575479,31,81,21,34,6,4,23,12
E00000283,341,111,255,242,328,67,311,111,228,216,287,19,62,116,43,29,1,0,152,59,5,15,31,6,62,4,30,65,27,34,10,11,17,8,4,55,31,24,0,97.92763773,30,80,20,41,7,9,29,9
E00000284,395,126,280,269,377,91,329,127,251,229,316,33,77,118,47,32,2,0,185,102,0,10,27,10,49,6,39,66,28,44,14,12,12,14,1,65,37,24,0,112.9961198,25,78,16,40,8,3,33,17
E00000285,317,89,225,218,296,64,275,92,195,184,257,27,59,94,41,20,0,0,149,63,5,3,14,2,71,4,30,43,21,34,9,3,10,10,2,54,20,15,0,94.15959915,31,69,5,35,3,5,12,10
E00000286,381,131,273,249,368,74,350,131,254,227,333,26,77,112,39,46,3,0,171,53,25,2,9,5,98,10,24,75,28,31,19,12,16,20,3,60,47,23,0,77.31675518,22,91,15,51,9,5,22,6
E00000287,392,134,281,267,380,91,374,133,272,257,342,26,75,133,45,47,3,0,147,107,5,17,4,10,71,9,48,75,20,41,21,12,22,13,4,50,41,41,0,80.18726907,30,96,22,62,11,4,30,17
E00000288,529,184,378,366,503,107,473,179,326,304,433,51,94,160,62,35,2,0,217,88,17,13,18,15,122,14,38,101,39,57,13,15,34,23,1,60,88,36,0,74.68310869,42,104,40,75,8,8,45,28
E00000289,335,118,247,233,316,59,303,118,225,207,283,28,57,101,42,29,2,0,179,63,1,1,6,3,61,11,20,68,29,30,7,16,16,15,5,64,35,19,0,87.73970938,23,65,21,45,10,4,17,4
E00000290,352,117,269,256,340,65,328,116,240,221,311,19,60,102,58,32,0,0,166,71,3,6,15,9,69,7,28,73,31,36,16,10,16,6,1,58,41,17,0,96.01063063,35,72,19,54,6,4,27,16
E00000291,315,109,253,240,301,46,294,105,221,212,279,22,35,97,49,35,2,0,163,66,5,13,10,5,46,6,18,71,29,23,15,10,17,11,3,57,32,20,0,92.47177292,31,83,25,38,4,5,23,8
E00000292,337,111,240,229,316,60,287,109,207,197,270,31,59,101,50,32,0,0,164,86,2,2,0,8,64,7,31,64,24,31,16,8,16,14,1,49,39,23,0,81.29557141,26,69,22,37,9,4,28,16
E00000293,352,106,266,220,326,54,311,104,246,190,299,31,51,86,46,56,19,42,186,53,7,10,10,7,64,10,21,65,25,23,14,10,16,11,5,43,49,12,0,156.4106379,29,74,18,29,5,2,30,4
E00000294,468,145,339,324,437,85,374,140,281,260,355,49,79,137,71,38,3,0,197,109,13,14,19,9,94,3,43,82,40,46,19,9,14,13,4,74,44,27,0,111.6034298,39,99,19,41,12,3,22,13
E00000295,341,124,263,244,331,57,310,121,229,209,289,23,48,103,48,41,2,0,179,72,1,3,12,4,66,3,23,81,28,30,12,20,21,10,2,68,38,16,0,113.4756316,32,72,19,33,7,6,24,11
E00000296,397,128,289,278,380,84,322,125,247,234,304,28,77,121,53,38,0,0,200,95,10,12,5,6,46,10,31,75,31,37,15,12,17,12,3,66,41,21,0,90.8197786,31,94,20,35,6,6,25,13
E00000297,377,132,265,242,362,83,352,126,267,236,332,32,77,109,41,47,0,0,195,35,20,11,28,7,62,11,25,77,25,34,21,14,17,17,2,70,41,21,0,102.0066736,28,96,18,46,6,4,25,14
E00000298,395,134,292,276,379,75,366,129,267,246,345,22,74,119,61,35,1,0,188,88,10,10,12,4,70,6,33,78,25,44,12,13,28,9,3,77,30,25,0,85.18927473,34,100,37,37,9,5,15,6
