"Cluster","Within_Cluster_Sum_of_Squares","Number_Assigned","Mean_Cluster_Within_Sum_of_Squares","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_07","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_32","RM2018_33","RM2018_34","RM2018_35","RM2018_36","RM2018_40","RM2018_41","RM2018_42","RM2018_43"
"1",23.7696061501058,41,0.579746491465996,0.813101773957032,0.828050354441151,0.597266269297077,0.799667840633408,0.423761384512938,0.0271401914160296,0.029794187919803,0.482687289265629,0.827653755131369,0.409008152002143,0.615930501754412,0.55394353563578,0.627349653284697,0.863398526796086,0.489443082189041,0.762518860903152,0.565966631620416,0.809685833631342,0.903803619816205,0.454350991065326,0.40661764244437,0.76378485169935,0.778197261759112,0.404840140255282,0.677774689089829,0.856772272559861,0.6831674275171,0.0418666762633968,0.618056897119462,0.669949941394688,0.713335556794029,0.62679166601999,0.502556081080251,0.810721718794475,0.327715535988063,0.848639456447783,0.676699270361176
"2",48.2411291051124,136,0.354714184596415,0.746331325485687,0.719224024491531,0.524857395016071,0.834678681852787,0.627286480542671,0.164104484767932,0.0055756707514202,0.736358197648831,0.814917208449548,0.467705243088554,0.618399241563143,0.570467356329143,0.473875570185641,0.672609623843084,0.534331043269089,0.626417745050507,0.698655645716239,0.866928503873161,0.878883238507088,0.715617896872519,0.643015522523332,0.700354530068703,0.672486565821628,0.42892604265714,0.852629236183993,0.768767227068145,0.723270058899932,0.00583577879903504,0.741404127367082,0.792069907728985,0.750343884852376,0.61414487517378,0.396779182246483,0.691399140576861,0.644054690940029,0.792891013325257,0.617328478733136
"3",21.4147155680606,27,0.793137613631874,0.664403512576742,0.483865501536964,0.415193668325077,0.83333481535409,0.774424150749788,0.378334706459457,0.0777437347645124,0.879587872570953,0.752588644972736,0.453131100298901,0.43554261898398,0.412900946925547,0.329874040384787,0.444561328940412,0.421410584665095,0.558913672865746,0.842676784402898,0.874541976521043,0.787028880405826,0.859113933622634,0.744176387800835,0.681081349991439,0.502842791063114,0.465001561337626,0.951596443204041,0.26552384640464,0.641368830003822,0,0.751950175906066,0.833520216040993,0.789023180297939,0.705463850960709,0.365941940789951,0.353475867077021,0.739114008583172,0.446056071514319,0.44253169963661
"4",27.0213445994904,51,0.529830286264518,0.73767639956872,0.626517692889147,0.580293891968827,0.802312062529413,0.645628546062132,0.163016335289868,0.0385683529681097,0.494453036022338,0.780818709548436,0.65981908876336,0.834578841163353,0.760249025109726,0.451446573661222,0.446338160941225,0.439252701645973,0.788342830431103,0.705468115389888,0.886602488237205,0.880668367355664,0.787088170971475,0.590641992914271,0.677296574482396,0.542654204194823,0.710452978955901,0.921559024026428,0.23910440258032,0.759911984710755,0,0.674611955912171,0.813959798049935,0.702395675173583,0.692445597034773,0.57185493917066,0.548197805070067,0.717642138679609,0.513128004090366,0.39871041891081
"5",72.160478878485,163,0.442702324407883,0.721993090025763,0.681351136435242,0.492676087320084,0.847540401485239,0.662718737723164,0.25592450543155,0.0498195389299074,0.821512507708147,0.832735036332521,0.279572803347422,0.34728542941326,0.404823345779375,0.417274807597567,0.714968917801918,0.441838458002821,0.54329672274041,0.736726733617353,0.881892321377641,0.849039637453447,0.747030288473365,0.668747393976556,0.692169292245967,0.687257758942129,0.406649150759103,0.85452447262832,0.773765601693525,0.707213800751177,0,0.758793539550225,0.816484769043035,0.781783164713054,0.596391573692068,0.316250887093163,0.666081706599254,0.644417762194337,0.803565580346806,0.628799050050818
"6",21.6712916602167,49,0.44227125837177,0.762220018646543,0.732864496070487,0.52417536802584,0.833673199263025,0.608856985111593,0.133923229915516,0.0235163976944481,0.638919706545208,0.85944692014816,0.504354993249035,0.527134942454215,0.564859913409771,0.552403781326953,0.746947908864363,0.547120699375648,0.745738079051837,0.686361699016955,0.875697558985094,0.874116634203019,0.708105244067781,0.584642481706304,0.706374527019941,0.69100081608492,0.498475980449053,0.899188813115121,0.23542381499662,0.824342199307915,0,0.66582651054091,0.77757982826265,0.765314576040436,0.689478924826082,0.493951552394055,0.714623154708272,0.691972973416477,0.61564682136047,0.519615360802712
"7",27.93681675745,24,1.16403403156042,0.845088531745239,0.764329380674643,0.749494593688721,0.734964582376776,0.206248116393506,0.00642449471641991,0.0354094529444102,0.364165999738897,0.856862017137058,0.547959385337017,0.63454900519788,0.571476597103731,0.59326121671902,0.80927380705901,0.345462054387054,0.816862389466163,0.583259392171431,0.804706740822711,0.846593006975988,0.256683239562991,0.142765520684875,0.81948486470135,0.792130500255631,0.185345143404335,0.707635992652194,0.205122953366966,0.871444689234114,0.132434443017842,0.439591567749723,0.548684495410227,0.568853998880307,0.646365317676597,0.742272176210813,0.735817508408818,0.32606912273062,0.646479544630041,0.524599043978394
"8",36.028311714033,62,0.581101801839241,0.786104727835497,0.775150809799721,0.538634710716901,0.812403621789898,0.545239335926897,0.110170209569629,0.0327413218871602,0.781755699708586,0.761720104748466,0.259407212817722,0.392544827360866,0.413099807551641,0.536500003886567,0.77769199939362,0.618764797781114,0.482130850825279,0.670706720481544,0.816477550895253,0.858878365386774,0.575792789497625,0.581557523899435,0.751686115998094,0.782807603185745,0.195567062637559,0.720636558990159,0.835670907074947,0.703444651762766,0,0.704318529924609,0.703278758838703,0.807732165544486,0.631108222672287,0.357965504652067,0.758337033988056,0.432945665476107,0.861767135406452,0.689587987310518
"Mean",34.7804618041192,69.125,0.610942249017265,0.759614922480153,0.701419174542361,0.552823998044825,0.81232190066058,0.561770467127836,0.1548797696958,0.0366460822324714,0.649930038651074,0.810842799558537,0.447619747363019,0.550745675986389,0.531477565980589,0.497748205880807,0.684473784204965,0.479702927664479,0.665527643916775,0.68622771530209,0.852066621792931,0.859876468763002,0.637972819266715,0.545270558243747,0.724029013275905,0.681172187663388,0.411907257557,0.82319315373626,0.522518878218128,0.739270455273448,0.0225171122600343,0.669319163008781,0.744440964346152,0.734847775287026,0.650273753507036,0.46844653295468,0.659831741902853,0.565491487251052,0.691021703390187,0.562233913723022
