"OA","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_07","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_32","RM2018_33","RM2018_34","RM2018_35","RM2018_36","RM2018_40","RM2018_41","RM2018_42","RM2018_43","Cluster"
"E00000037",0.657229384841775,0.574129730893981,0.701521947935848,0.83439927295321,0.575377703448475,0,0,0.175156095897727,0.895483726602673,0.720204777482292,0.939520896680006,0.721366611690168,0.529025621969521,0.541632424821316,0.113193319675928,0.878002598611417,0.769577401505702,0.948304627270693,0.878662014413509,0.728572038439799,0.614963144068415,0.719355868463448,0.440766487694071,0.487535954875716,0.805703670543383,0.623864101169017,0.894864041085886,0,0.772136900617395,0.734866059339311,0.5735546033162,0.412508175162397,0.758530627376108,0.931200829804755,0.884960609129919,0.752273335984507,0,3
"E00000038",0.758501345828424,0.712964588579188,0.64123682355512,0.7557847641953,0.590058245521215,0,0,0.349482655240139,0.895415877520452,0.479322534247641,0.978038191363226,0.737675416205168,0.439753518375787,0.39444024504844,0.16372061136644,0.883593379586846,0.61554943316762,0.793178743671299,0.929633185446822,0.759539255613432,0.585848525630938,0.71374225397652,0.607331069534446,0.734291874413366,0.908584332545941,0,0.834298006587273,0,0.718290729729544,0.808193990259229,0.726211289864107,0.720153327592228,0.469670721109879,0.846186936952586,0.97052051081643,0.642981669499409,0.616859986630685,3
"E00000039",0.876816499683565,0.92585578415126,0.623071605090347,0.805426903244701,0.315300771420312,0,0,0.313631054746,0.920001569788199,0.463842180187203,0.750768665594183,0.730397972381542,0.606963263195144,0.791364977414547,0.253950167066711,0.822508252176694,0.46561933077135,0.767972922753417,0.869652165824116,0.351370527132083,0.320103198362492,0.769735859957752,0.925099589497732,0.211000144806042,0.716849697500086,0.12033731322773,0.977110070452411,0,0.441381275315261,0.596274061641014,0.727371610208471,0.613407715010939,0.635668958140835,0.890454706768511,0.953015862682372,0.732080071960434,0.68184469175746,4
"E00000040",0.909129845053028,0.756034692447045,0.7482163212522,0.776603079833135,0.315788462181331,0,0,0.290594244687197,0.911967975407885,0.645476355537968,0.663206089771512,0.652672661176138,0.630540848628777,0.79457444735777,0.438859368146036,0.852807854109633,0.635659827042346,0.781231582000489,0.850204875400853,0.394831403762837,0.359696631900281,0.841856047719223,0.896496494273201,0,0.688024671201755,0.45955911301154,0.967961225507537,0.280896567803506,0.528242852420946,0.594345324956592,0.549306036246485,0.469829030325997,0.79022701081581,0.950432999942296,0.184677038259532,0.871536156163735,0.525530953784771,4
"E00000041",0.805645791513244,0.660468264862095,0.644243029983649,0.796359924444972,0.544831658745102,0,0,0.236390893359906,0.828373719854558,0.607763487584149,0.949951582402364,0.815467701985574,0.550589963091677,0.511701388103008,0.10826933147956,0.881419965115709,0.61837079236386,0.844799356952386,0.911340452856936,0.463188428040775,0.570833753186294,0.767059402015274,0.579479227910299,0.960935339345861,0.889072726289051,0.182191734153912,0.851515265466594,0,0.660867247673644,0.85626212912814,0.591574936795321,0.789847505010689,0.585534182471239,0.685953602040559,0.82145636011556,0.592978539969542,0.290433820908267,3
"E00000042",0.841017103431916,0.268208012045655,0.55856824423872,0.860028404423678,0.758531706466152,0.458648282683978,0,0.630454661941855,0.882207928961198,0.594560904458943,0.790957276422638,0.384533346837233,0.428985186921983,0.675833634777778,0.491495119929452,0.871844964245282,0.903165852873687,0.671201161863741,0.658805117426483,0.588171476403463,0.801782345922676,0.899790471426524,0.637314981431133,0,0.640805146185517,0.920327776772819,0.73529248403718,0,0.969548561893838,0.52054120386931,0.511670742952238,0.627030959592325,0.393661320577552,0.611819307062827,0.474457669011758,0.940009628046515,0.502822246145097,5
"E00000043",0.675889854008602,0.828649622016059,0.635359819312497,0.871079135578382,0.391255250935564,0,0,0.466499449138841,0.829028598757346,0.306465564778447,0.698551523686383,0.403183030548381,0.374567228943419,0.9370585353662,0.429147603981648,0.84712444473886,0.670121048613756,0.876427585255789,0.909469721992853,0.392088599602645,0.464075851580224,0.80663500725701,0.692497006338375,0.247744652345948,0.590206197051839,0.958713038842544,0.607639120610322,0,0.510889947994316,0.55752116844871,0.772353584455317,0.51971350555332,0.488783854886937,0.649692689954414,0.399579366850862,0.906110826095598,0.632958337013139,2
"E00000045",0.804375762296399,0.891197695723376,0.567223071431588,0.846956552759094,0.402383519977896,0,0,0.42179826947024,0.910285691944746,0.566214658805986,0.738095162841833,0.555404407316004,0.522582775402832,0.783327932795837,0.445513747240057,0.836601481836202,0.523051315558394,0.885867709989284,0.900104599854175,0.340034741469442,0.500061039533767,0.696127935781708,0.822122297657166,0.469843486731057,0.789024289401018,0.52073684565016,0.92266556589247,0,0.412610358536223,0.68170384363886,0.647038192922462,0.806620895756556,0.602577227206334,0.935358547600458,0.56369727697483,0.776488138892881,0.571324101029468,2
"E00000046",0.86237075770317,0.769203007772918,0.677715136054567,0.766915794771832,0.503254009086933,0,0,0.438891173145564,0.880088392247867,0.621991478881335,0.792442198647967,0.48071996748641,0.769289898236706,0.767808308657958,0.542964656943201,0.810462336851354,0.67501216158338,0.752558895086658,0.822421398015968,0.337310287150216,0.580265543157235,0.846843540778535,0.838233659939503,0.466078968107894,0.636499872517798,0.911085380191796,0.747540878077357,0,0.601063789607944,0.63379510668463,0.458722445453074,0.513580665687209,0.755554913280833,0.749208911397209,0,0.805330744346436,0.721525480134176,2
"E00000048",0.794660846757821,0.901527045562214,0.491344385526432,0.825322800054872,0.382021433987899,0,0,0.533797896903545,0.731387551950569,0.0872082369015024,0.793054125305343,0.424288953528409,0.722588635985859,0.901888686669788,0.641617048627631,0.737931487389439,0.590649789195171,0.775336604750153,0.90285359177614,0.410638457032502,0.459215990387704,0.811371247544081,0.797964092385476,0.364650342269903,0.564631614036465,0.942328409568159,0.709050311984904,0,0.542628729825442,0.694395319594541,0.780491593157839,0.564872398416724,0.465202029150775,0.916247764724037,0,0.908948347477938,0.645470398461619,2
