"Cluster","Within_Cluster_Sum_of_Squares","Number_Assigned","Mean_Cluster_Within_Sum_of_Squares","RM2018_01","RM2018_02","RM2018_02a","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_40","RM2018_41","RM2018_42","RM2018_43"
"1",304.57358375153,230,1.32423297283274,0.607661056129034,0.794968015111519,0.674255559280037,0.837414463117268,0.69703923232034,0.282074172206683,0.0089568978412217,0.78103115006255,0.599169391339916,0.168887956333347,0.270164112549002,0.232140396822752,0.378723921647665,0.781530623797479,0.318211583811437,0.772548171587779,0.839034132040311,0.616987267236529,0.756758641171197,0.205327885501662,0.211296256858706,0.670189465679499,0.59968523910001,0.118848075739067,0.452346675268246,0.88934495619817,0.460089606295054,0.0217391304347826,0.467624062952095,0.07365376925152,0.753071176790187,0.65763120829937
"2",376.018994611965,328,1.14639937381697,0.548482724353692,0.721972092693831,0.654136517488482,0.821784256964417,0.741281052497373,0.559258624697225,0.0817576898406415,0.81899851284642,0.697920326566915,0.263320591568406,0.321846401388091,0.296107552013869,0.281074059555029,0.62364992730513,0.216078714667607,0.855345627528156,0.909949118293416,0.674243510655365,0.731384460828053,0.509032424583378,0.512931800402893,0.642266355848317,0.413611341630743,0.159818711587226,0.84651972526197,0.736062068011507,0.637522236121594,0,0.320475490836853,0.336176119694167,0.654026635854344,0
"3",236.537331147634,128,1.84794789959089,0.386461663498694,0.58999015012729,0.655285225578666,0.780002615466682,0.741543580718586,0.652152898417585,0.162857756374959,0.871212636765164,0.553566075230635,0.340190036459042,0.217693061123861,0.193517739294313,0.208163509595844,0.408581727266573,0.199905350224913,0.468568874534119,0.94017288759872,0.704518524010905,0.638965860850288,0.628855530062626,0.548014783091557,0.508371643324384,0.163970954226371,0.136894354939352,0.931852214158754,0.191498969640348,0.526855172986112,0,0.117355951835229,0.393022887868865,0.275906838260196,0.0511925355595607
"4",319.14479752305,464,0.687812063627262,0.579279604448707,0.768155943756075,0.691215498537476,0.824362042779675,0.725860316200019,0.555511057375959,0.0932025018024073,0.827307645593482,0.691627811775303,0.29150040652751,0.349615524094158,0.347481304653095,0.313446672253014,0.683581943119695,0.270219826925234,0.830748872845793,0.885280728509639,0.681311873519715,0.76181792651362,0.532852535581247,0.498218699204183,0.620514905400848,0.515973838581555,0.503623306324007,0.850336276361243,0.755502269406348,0.660915917952283,0.00377276262501161,0.403169454316833,0.384009223509092,0.702342802923455,0.648901517915163
"5",419.911555410003,515,0.815362243514568,0.57301464945343,0.767803453462313,0.684414740702085,0.820701881777909,0.730739813027748,0.542494803100691,0.089454538850613,0.836398677208019,0.688672206107711,0.290890493711058,0.326094993589259,0.34620716487643,0.310111598842015,0.642800919428613,0.250329794625811,0.817290420567175,0.895019905693638,0.679929197552728,0.763423984971612,0.540502147471367,0.530099477148395,0.601999414817469,0.518934763042262,0,0.838958152127065,0.760687430613439,0.665226178080959,0.00161271408817736,0.355515178335693,0.424334360098861,0.71112377903063,0.679112344094675
"6",62.0309994590724,34,1.82444116056095,0.119457855926203,0.171114921949954,0.0789743545013873,0.358248782574361,0.441212600349498,0.930367481817897,0.56840937617897,0.939112118175552,0.50803863316299,0.125049706692517,0.155326734473692,0.0664629237118545,0.0798178038470494,0.466000564545026,0.192032951822485,0.217001322098373,0.993458920290673,0.149896759776413,0.0941951003160177,0.504714724616861,0.866391579545601,0.619281028676386,0.0692445294637963,0.0672068074619793,0.173408534566703,0.716645409758508,0.340200383972085,0,0.341345479760336,0.0706196882194644,0.852846469852489,0.0977575467212362
"7",440.431441051713,310,1.42074658403778,0.687079486902222,0.780974502047588,0.583602364687984,0.874397368197389,0.651778486894702,0.198805898551034,0.00763843048736281,0.641993534229516,0.721382799617005,0.371420556851218,0.438561484832772,0.376574467051574,0.401679837776991,0.729174081752536,0.208008214861999,0.88608531853027,0.834332820994863,0.579224024616862,0.777018857482566,0.127174532886027,0.148060878818019,0.702098626008334,0.595042002059668,0.108157649380653,0.664592949067167,0.0489224756709131,0.84962246573234,0.0450813328977636,0.466579329118035,0.176095420365287,0.562247401831774,0.335645817124242
"8",363.212766469058,356,1.02026057996927,0.577581572402709,0.737708491630761,0.686160941860019,0.832977844997162,0.706658092973207,0.569042881863036,0.094107073265109,0.720004932032977,0.68208604340711,0.519175684559064,0.562797024148233,0.548422827700373,0.308385658964827,0.503690530162113,0.243504242568984,0.908409289457381,0.893609606990068,0.687188995942791,0.762614442490754,0.577635256744608,0.483138577521957,0.59951640599463,0.416999834970101,0.388250217675931,0.930054190039347,0.0743167893915914,0.725874918926068,0,0.325484065376759,0.496490411581111,0.362126819779029,0.292967373263237
"Mean",315.232683678003,295.625,1.2609003597438,0.509877326639336,0.666585946347416,0.588505650329517,0.768736156984358,0.679514146872684,0.536213477253764,0.138298033080161,0.80450740086421,0.642807910900948,0.29630442908777,0.330262417024884,0.300864297015533,0.285175382810304,0.604876289672146,0.237286334938559,0.719499737143631,0.898857265051416,0.596662519163913,0.660772409328014,0.453261879680972,0.474769006573914,0.620529730718733,0.411682812884313,0.185349890388527,0.711008589606312,0.521622546086353,0.608288360008312,0.0090257425057169,0.349693626566479,0.294300235073546,0.609211490540263,0.345401042872186
