"OA11CD","RM2018_01_PCT","RM2018_02_PCT","RM2018_02a_PCT","RM2018_03_PCT","RM2018_04_PCT","RM2018_05_PCT","RM2018_06_PCT","RM2018_08_PCT","RM2018_09_PCT","RM2018_10_PCT","RM2018_11_PCT","RM2018_12_PCT","RM2018_13_PCT","RM2018_14_PCT","RM2018_15_PCT","RM2018_17_PCT","RM2018_18_PCT","RM2018_21_PCT","RM2018_22_PCT","RM2018_23_PCT","RM2018_24_PCT","RM2018_25_PCT","RM2018_26_PCT","RM2018_27_PCT","RM2018_28_PCT","RM2018_29_PCT","RM2018_30_PCT","RM2018_31_PCT","RM2018_40_PCT","RM2018_41_PCT","RM2018_42_PCT","RM2018_43_PCT"
"RM70TU",11.214953271028,9.34579439252336,10.2803738317757,27.1028037383178,8.41121495327103,14.9532710280374,0,71.0280373831776,13.0841121495327,0,0,0,2.80373831775701,3.73831775700935,2.80373831775701,40,69.2307692307692,33.3333333333333,20.5128205128205,12.8205128205128,17.9487179487179,5.12820512820513,7.69230769230769,2.56410256410256,76.9230769230769,17.9487179487179,5.12820512820513,0,7.69230769230769,5.12820512820513,7.69230769230769,0
"RM70UA",15.9090909090909,0,9.09090909090909,25,9.09090909090909,29.5454545454545,0,84.0909090909091,6.81818181818182,0,0,0,0,9.09090909090909,0,0,64.7058823529412,17.6470588235294,23.5294117647059,41.1764705882353,5.88235294117647,0,11.7647058823529,0,100,0,0,0,0,11.7647058823529,0,0
"RM70UB",5.35714285714286,14.2857142857143,16.9642857142857,31.25,8.03571428571429,12.5,0.892857142857143,61.6071428571429,15.1785714285714,3.57142857142857,1.78571428571429,7.14285714285714,0,5.35714285714286,1.78571428571429,44.4444444444444,60,25.7142857142857,28.5714285714286,17.1428571428571,8.57142857142857,8.57142857142857,5.71428571428571,5.71428571428571,85.7142857142857,0,14.2857142857143,0,0,5.71428571428571,5.71428571428571,0
"RM70UD",5.43478260869565,14.1304347826087,9.78260869565217,25,8.69565217391304,17.3913043478261,0,64.1304347826087,3.26086956521739,7.60869565217391,2.17391304347826,4.34782608695652,2.17391304347826,15.2173913043478,0,44.4444444444444,71.875,21.875,25,25,9.375,15.625,0,3.125,78.125,0,21.875,0,0,6.25,9.375,0
"RM70UH",12.7906976744186,11.6279069767442,11.6279069767442,33.7209302325581,11.6279069767442,9.30232558139535,1.16279069767442,59.3023255813954,18.6046511627907,0,10.4651162790698,0,1.16279069767442,6.97674418604651,0,23.0769230769231,66.6666666666667,23.3333333333333,23.3333333333333,6.66666666666667,16.6666666666667,20,6.66666666666667,3.33333333333333,63.3333333333333,0,36.6666666666667,0,3.33333333333333,0,13.3333333333333,7.69230769230769
"RM70UJ",6.94444444444444,19.4444444444444,9.72222222222222,31.9444444444444,9.72222222222222,9.72222222222222,0,58.3333333333333,18.0555555555556,8.33333333333333,0,8.33333333333333,0,6.94444444444444,0,40,52.1739130434783,21.7391304347826,39.1304347826087,4.34782608695652,17.3913043478261,8.69565217391304,4.34782608695652,4.34782608695652,73.9130434782609,26.0869565217391,0,0,0,4.34782608695652,8.69565217391304,0
"RM70UL",0,7.14285714285714,10.7142857142857,10.7142857142857,28.5714285714286,17.8571428571429,0,100,0,0,0,0,0,0,0,0,80,40,20,20,20,0,0,0,50,50,0,0,0,10,40,0
"RM70UP",7.2463768115942,15.9420289855072,17.3913043478261,20.2898550724638,7.2463768115942,26.0869565217391,0,56.5217391304348,8.69565217391304,7.2463768115942,0,1.44927536231884,0,21.7391304347826,0,50,66.6666666666667,14.2857142857143,19.047619047619,23.8095238095238,23.8095238095238,4.76190476190476,4.76190476190476,9.52380952380952,90.4761904761905,0,9.52380952380952,0,0,4.76190476190476,9.52380952380952,0
"RM70UR",0,7.14285714285714,14.2857142857143,17.8571428571429,25,17.8571428571429,0,67.8571428571429,14.2857142857143,0,7.14285714285714,0,0,10.7142857142857,0,0,70,30,30,20,10,10,0,0,100,0,0,0,0,0,0,0
"RM70UU",5.88235294117647,13.2352941176471,13.2352941176471,22.0588235294118,17.6470588235294,19.1176470588235,0,66.1764705882353,4.41176470588235,0,2.94117647058824,14.7058823529412,5.88235294117647,1.47058823529412,2.94117647058824,12.5,69.5652173913043,30.4347826086957,26.0869565217391,30.4347826086957,8.69565217391304,0,4.34782608695652,0,100,0,0,0,0,8.69565217391304,0,0
"RM70UX",6.66666666666667,13.3333333333333,17.1428571428571,30.4761904761905,17.1428571428571,7.61904761904762,0,59.0476190476191,16.1904761904762,5.71428571428571,3.80952380952381,0,0.952380952380952,7.61904761904762,2.85714285714286,14.2857142857143,62.5,40.625,37.5,9.375,6.25,6.25,0,0,96.875,0,3.125,0,0,6.25,0,0
"RM70WW",5.97014925373134,4.47761194029851,8.95522388059701,10.4477611940298,4.47761194029851,43.2835820895522,20.8955223880597,73.134328358209,8.95522388059701,2.98507462686567,1.49253731343284,0,0,7.46268656716418,0,100,50,12.5,25,12.5,12.5,12.5,12.5,12.5,50,0,37.5,0,12.5,0,12.5,0
"RM70WX",10.625,15,5,36.25,12.5,10,0.625,64.375,16.875,1.875,2.5,0,3.125,7.5,0.625,19.047619047619,64.2857142857143,17.1428571428571,22.8571428571429,5.71428571428571,12.8571428571429,28.5714285714286,10,2.85714285714286,71.4285714285714,0,27.1428571428571,0,5.71428571428571,2.85714285714286,5.71428571428571,19.047619047619
"RM70WY",16.3934426229508,11.4754098360656,4.91803278688525,42.6229508196721,13.1147540983607,3.27868852459016,0,42.6229508196721,22.9508196721311,3.27868852459016,8.19672131147541,0,0,21.3114754098361,0,80,60,16.6666666666667,23.3333333333333,0,6.66666666666667,36.6666666666667,13.3333333333333,0,50,0,50,0,3.33333333333333,3.33333333333333,6.66666666666667,20
"RM70WZ",2.14285714285714,12.8571428571429,11.4285714285714,33.5714285714286,26.4285714285714,7.85714285714286,0,62.1428571428571,24.2857142857143,1.42857142857143,1.42857142857143,0,6.42857142857143,0.714285714285714,0,41.6666666666667,70,26.6666666666667,23.3333333333333,8.33333333333333,3.33333333333333,31.6666666666667,6.66666666666667,0,85,0,15,0,1.66666666666667,0,3.33333333333333,0
