"RM2018_01_PCT","RM2018_02_PCT","RM2018_02a_PCT","RM2018_03_PCT","RM2018_04_PCT","RM2018_05_PCT","RM2018_06_PCT","RM2018_08_PCT","RM2018_09_PCT","RM2018_10_PCT","RM2018_11_PCT","RM2018_12_PCT","RM2018_13_PCT","RM2018_14_PCT","RM2018_15_PCT","RM2018_17_PCT","RM2018_18_PCT","RM2018_21_PCT","RM2018_22_PCT","RM2018_23_PCT","RM2018_24_PCT","RM2018_25_PCT","RM2018_26_PCT","RM2018_27_PCT","RM2018_28_PCT","RM2018_29_PCT","RM2018_30_PCT","RM2018_31_PCT","RM2018_40_PCT","RM2018_41_PCT","RM2018_42_PCT","RM2018_43_PCT"
3.13117225648359,4.04586050746474,3.5355783852571,3.13117225648359,3.68950386898891,1.77227613624786,1.77227613624786,3.13117225648359,2.84496713333257,2.4436862749389,2.84496713333257,0,2.4436862749389,4.57628860113284,2.4436862749389,5.13129819741155,3.22047199846445,0,5.01067973557803,3.22047199846445,0,0,0,3.22047199846445,0,0,5.29834236561059,0,5.01067973557803,0,3.91242276564126,0
2.56343019112269,3.25212271488877,3.65675632533479,3.91242276564126,3.36959187275388,3.25212271488877,0,4.14185007978701,3.47472769216639,2.56343019112269,2.10250673030269,3.87966002033984,2.10250673030269,2.78444291687759,0.737698195622026,5.13129819741155,4.86938071627504,3.61728027691143,3.93539432971748,3.48396943513536,3.14839905605655,3.61728027691143,2.24162535434434,2.24162535434434,5.00289829219942,1.58043107595909,3.84016427366476,0,2.24162535434434,1.58043107595909,2.24162535434434,0
3.1854964296999,3.31862737757865,3.1854964296999,4.14684537358297,3.23186470795613,2.44933164300009,0.547020589684739,3.87736049134599,3.80332097555138,2.543354820258,2.44933164300009,2.62938400236437,1.77768676743368,3.87736049134599,1.77768676743368,4.97559164661284,4.89290850369437,4.14279881778395,3.9487623810382,3.2567279149523,2.41594892831346,3.50745668474426,2.70015310354412,0,4.94696996065205,0,4.08220668628827,0,2.02022653542275,2.92167455985619,2.02022653542275,1.9514128284774
2.85065941947755,3.59001155361033,3.14925758737804,4.14229184560591,3.34932090146517,2.62938400236437,0.780405903134844,3.76414080627546,3.46347936875474,3.25426914571596,2.79972572829278,2.79972572829278,1.51095248515711,3.89504516386482,0.780405903134844,4.73877813232138,4.65178130487488,3.79474583577008,4.29086437422185,3.23617097926668,2.26464194456645,3.23617097926668,2.26464194456645,1.24223391872649,4.84412410412733,2.26464194456645,4.15116288395884,0,1.87226083425038,1.87226083425038,3.23617097926668,3.17184501136725
2.79877539743305,3.59432466787736,3.48914109580227,3.96549232767505,3.23843413694849,2.99822295029797,0,4.15343190960257,3.48914109580227,3.0848377563436,2.54986422339653,2.00252290859236,1.72848222293214,3.73390256046493,2.00252290859236,4.75184823861343,4.72303222462737,3.91242276564126,3.77901365282851,2.93402613670981,2.53206806370692,3.44304180688796,3.22047199846445,2.93402613670981,4.92367680547267,2.93402613670981,3.77901365282851,0,2.53206806370692,3.44304180688796,3.44304180688796,0
2.42971694871811,3.11704238085978,3.86928662126434,3.98042538573192,3.11704238085978,2.8308794125876,0,3.8087181337829,3.33948045680557,1.75889829477541,3.33948045680557,4.08044557578536,1.14288412155353,3.23441431247366,0,4.92367680547267,4.84639397178288,4.15343190960257,4.15343190960257,2.90343345935462,2.21916102213256,3.59432466787736,0,2.21916102213256,5.15174740867664,0,3.30722894307792,0,0,0,0,2.53206806370692
3.05511320347567,3.49564372449942,3.90059787687452,3.94708154682931,3.34182474662609,2.25306302733527,0,3.25505081995883,3.99150159736602,1.00082237896148,0,3.16005257879372,1.59118561424688,4.22317664496382,2.47225195536187,5.09768401467302,4.33340869163331,3.35362997266314,4.55649025359053,2.9496870333091,2.26464194456645,2.9496870333091,3.35362997266314,0,4.96189412632572,0,4.04586050746474,0,2.26464194456645,2.26464194456645,2.9496870333091,3.59432466787736
0,0,1.67077863998821,1.67077863998821,0,5.06878249071345,3.02341821643021,4.85369237973508,3.02341821643021,0,0,0,1.67077863998821,3.71479087391663,1.67077863998821,0,5.29834236561059,0,0,2.38899511256572,5.18393844180434,2.38899511256572,0,0,0,0,5.12142227043039,0,1.71999012574157,0,5.08863486117476,0
0,3.95494977869187,3.77278964378426,4.72785075333425,2.1757932520189,0,0,2.1757932520189,4.36021095958812,0,3.77278964378426,0,3.26290165536676,2.85926030368145,2.1757932520189,5.29834236561059,3.91242276564126,3.91242276564126,5.01067973557803,0,0,0,0,0,4.60527017099142,0,4.60527017099142,0,0,0,3.91242276564126,0
2.87601551548269,3.77414782904952,3.74243365963214,4.25932822585689,2.26464194456645,1.93826310674646,0,3.83471229980389,3.83471229980389,2.26464194456645,2.39566242235103,3.25381687908145,2.61582886450361,3.64077764132241,1.11483286286143,4.74632419123064,4.19993000198037,3.42756977006756,4.77032180950585,1.67077863998821,1.67077863998821,3.24571117437351,1.67077863998821,2.33727639179991,4.4074929447313,0,4.77032180950585,0,2.33727639179991,0,3.83244941197635,3.88167646620692
2.88109838817913,4.05690365594092,3.43859659162498,4.13097039719548,3.43859659162498,0,0,2.59584528914968,2.19722457733622,0,3.10311166580726,0,2.19722457733622,4.92569475660118,2.19722457733622,4.73877813232138,4.50998098422817,4.28690546377513,4.28690546377513,0,0,2.90343345935462,3.59432466787736,0,4.28690546377513,0,4.84639397178288,0,0,0,4.50998098422817,3.35362997266314
