"OA11CD","RM2018_01_PCT","RM2018_02_PCT","RM2018_03_PCT","RM2018_04_PCT","RM2018_05_PCT","RM2018_06_PCT","RM2018_07_PCT","RM2018_08_PCT","RM2018_09_PCT","RM2018_10_PCT","RM2018_11_PCT","RM2018_12_PCT","RM2018_13_PCT","RM2018_14_PCT","RM2018_15_PCT","RM2018_17_PCT","RM2018_18_PCT","RM2018_21_PCT","RM2018_22_PCT","RM2018_23_PCT","RM2018_24_PCT","RM2018_25_PCT","RM2018_26_PCT","RM2018_27_PCT","RM2018_28_PCT","RM2018_29_PCT","RM2018_30_PCT","RM2018_31_PCT","RM2018_32_RATIO","RM2018_33_PCT","RM2018_34_PCT","RM2018_35_PCT","RM2018_36_PCT","RM2018_40_PCT","RM2018_41_PCT","RM2018_42_PCT","RM2018_43_PCT"
"E00000456",11.1111111111111,18.0878552971576,33.3333333333333,11.8863049095607,7.23514211886305,0.516795865633075,0,26.0981912144703,18.6046511627907,0.516795865633075,2.84237726098191,12.9198966408269,1.29198966408269,32.0413436692506,4.1343669250646,53.9325842696629,60.6666666666667,12,24.6666666666667,7.33333333333333,9.33333333333333,32,14,0.666666666666667,23.3333333333333,64.6666666666667,11.3333333333333,0,80.04921703,4.8048048048048,30.8016877637131,10.126582278481,22.7848101265823,6,2.66666666666667,31.3333333333333,23.5955056179775
"E00000457",11.5151515151515,25.4545454545455,37.8787878787879,9.09090909090909,2.42424242424242,0,0,15.7575757575758,22.4242424242424,7.57575757575758,6.96969696969697,8.18181818181818,2.72727272727273,31.8181818181818,1.81818181818182,64.4067796610169,41.9642857142857,12.5,34.8214285714286,3.57142857142857,1.78571428571429,24.1071428571429,19.6428571428571,1.78571428571429,41.0714285714286,1.78571428571429,56.25,0,33.89619905,6.71140939597315,26.2135922330097,8.25242718446602,46.1165048543689,12.5,8.03571428571429,8.92857142857143,11.864406779661
"E00000458",10.752688172043,19.3548387096774,34.4086021505376,13.9784946236559,3.2258064516129,0,0,27.9569892473118,19.3548387096774,4.3010752688172,7.52688172043011,5.37634408602151,1.0752688172043,32.258064516129,0,50,50,13.3333333333333,46.6666666666667,6.66666666666667,0,30,0,0,30,63.3333333333333,6.66666666666667,0,67.91001449,6.59340659340659,48.8636363636364,10.7954545454545,13.6363636363636,6.66666666666667,0,30,11.1111111111111
"E00000459",16.6666666666667,24.4444444444444,44.4444444444444,4.44444444444444,2.22222222222222,0,0,8.88888888888889,25.5555555555556,23.3333333333333,4.44444444444444,2.22222222222222,3.33333333333333,26.6666666666667,0,42.8571428571429,20,12,52,0,0,8,24,4,24,68,8,0,70.12029425,4.01606425702811,43.2098765432099,9.25925925925926,15.4320987654321,4,0,8,17.8571428571429
"E00000460",15.6028368794326,26.241134751773,35.8156028368794,7.80141843971631,1.06382978723404,0,0,29.0780141843972,15.9574468085106,6.02836879432624,2.83687943262411,2.4822695035461,4.60992907801418,30.8510638297872,1.41843971631206,46.5909090909091,36.9565217391304,6.52173913043478,40.2173913043478,0,1.08695652173913,29.3478260869565,19.5652173913043,2.17391304347826,22.8260869565217,76.0869565217391,1.08695652173913,0,53.68833603,5.6140350877193,44.7058823529412,8.82352941176471,15.2941176470588,6.52173913043478,0,33.695652173913,22.7272727272727
"E00000461",6.92520775623269,20.4986149584488,21.0526315789474,19.3905817174515,9.69529085872576,0.554016620498615,0,26.5927977839335,13.0193905817175,3.601108033241,3.601108033241,6.37119113573407,3.601108033241,38.2271468144044,1.10803324099723,42.8571428571429,49.5145631067961,13.5922330097087,42.7184466019417,12.621359223301,12.621359223301,10.6796116504854,4.85436893203883,2.9126213592233,49.5145631067961,31.0679611650485,19.4174757281553,0,114.3565263,14.6616541353383,25.5208333333333,6.77083333333333,20.8333333333333,9.70873786407767,4.85436893203883,17.4757281553398,10.2040816326531
"E00000462",11.2745098039216,20.343137254902,32.1078431372549,10.2941176470588,5.3921568627451,0,0,35.0490196078431,12.5,0.980392156862745,3.92156862745098,12.2549019607843,1.7156862745098,27.2058823529412,3.18627450980392,51.6483516483517,43.75,16.0714285714286,41.9642857142857,7.14285714285714,5.35714285714286,15.1785714285714,11.6071428571429,2.67857142857143,31.25,49.1071428571429,19.6428571428571,0,91.79393457,8.76623376623377,34.2592592592593,11.1111111111111,16.2037037037037,9.82142857142857,3.57142857142857,25.8928571428571,25.2747252747253
"E00000463",6.83760683760684,17.9487179487179,28.4188034188034,13.8888888888889,10.042735042735,0.641025641025641,0,54.0598290598291,10.2564102564103,0,5.12820512820513,7.26495726495727,0.854700854700855,19.8717948717949,1.70940170940171,31.8681318681319,57.4626865671642,26.1194029850746,32.8358208955224,14.1791044776119,11.9402985074627,5.22388059701492,5.97014925373134,2.98507462686567,52.9850746268657,40.2985074626866,6.71641791044776,0,95.48337063,9.90566037735849,33.3333333333333,8.49056603773585,16.9811320754717,2.23880597014925,2.23880597014925,19.4029850746269,19.7802197802198
"E00000464",7.61245674740484,23.8754325259516,24.0484429065744,12.6297577854671,8.65051903114187,0.519031141868512,0,46.3667820069204,10.8996539792388,2.24913494809689,2.59515570934256,1.03806228373702,3.28719723183391,29.757785467128,1.3840830449827,29.0780141843972,48.5714285714286,15.4285714285714,42.2857142857143,12.5714285714286,11.4285714285714,9.14285714285714,7.42857142857143,0.571428571428571,30.8571428571429,60.5714285714286,8.57142857142857,0,98.75774035,9.13705583756345,32.1799307958478,8.99653979238754,19.0311418685121,6.85714285714286,2.85714285714286,30.8571428571429,21.9858156028369
"E00000465",11.9804400977995,18.3374083129584,31.0513447432763,15.158924205379,7.09046454767726,0.488997555012225,0,32.0293398533007,11.9804400977995,3.17848410757946,8.55745721271394,15.158924205379,0.733496332518337,23.2273838630807,2.44498777506112,71.7948717948718,59.4405594405594,19.5804195804196,32.1678321678322,6.29370629370629,10.4895104895105,23.0769230769231,6.99300699300699,1.3986013986014,42.6573426573427,38.4615384615385,18.8811188811189,0,106.9048704,7.94871794871795,34.7079037800687,10.6529209621993,17.8694158075601,5.59440559440559,2.7972027972028,24.4755244755245,12.8205128205128
