POSTCODE,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,RM2018_01,RM2018_02,RM2018_02a,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_40,RM2018_41,RM2018_42,RM2018_43
RM94QL,44,17,31,29,38,7,7,6,6,13,3,3,1,12,10,4,15,0,0,0,1,5,11,2,5,1,3,5,1,0,9,4,4,0,1,1,2,0
RM94QP,53,15,38,37,53,6,3,11,13,12,5,2,0,26,13,3,0,1,1,9,0,2,7,3,7,1,1,2,1,0,3,8,4,0,0,1,6,2
RM94QR,53,25,44,41,51,4,5,4,3,17,7,4,1,34,1,2,2,6,1,2,1,1,18,8,2,3,1,6,5,0,9,10,6,0,0,0,9,2
RM94QS,60,16,37,36,56,17,7,15,9,20,3,3,0,10,15,4,0,6,1,18,1,13,4,0,11,1,0,3,0,0,4,6,5,0,0,2,3,3
RM94QU,59,24,47,47,58,12,1,10,5,22,10,1,0,30,10,4,2,0,1,6,4,4,15,8,7,1,0,6,2,0,14,7,3,0,1,1,1,0
RM94QX,42,17,35,33,40,3,3,4,4,13,6,5,1,23,7,0,2,0,0,9,0,1,12,5,3,3,1,3,2,0,9,7,0,0,2,0,2,0
RM94RA,111,29,73,71,107,26,9,29,18,30,12,8,0,43,9,2,6,9,3,26,4,7,15,9,9,4,1,1,4,1,15,10,4,0,5,2,5,4
RM94RB,112,30,78,70,107,14,11,19,18,27,22,11,1,48,17,0,1,0,3,35,0,7,14,7,10,5,2,0,4,2,8,16,6,0,2,0,9,2
RM94RH,49,19,36,35,43,4,9,4,3,20,5,4,0,18,11,2,1,6,2,6,0,3,13,5,5,3,0,5,1,0,10,9,0,0,1,2,4,0
RM94RP,98,29,65,62,93,24,7,26,9,28,9,8,0,56,15,0,5,0,1,13,4,5,15,7,10,1,4,3,2,2,11,13,5,0,1,0,9,4
RM94RR,123,40,88,86,120,32,7,26,18,35,21,10,0,65,37,0,3,1,0,15,1,11,22,9,11,6,1,6,6,0,20,13,7,0,3,3,8,5
RM94RS,51,19,36,32,47,8,6,9,6,15,8,7,0,27,7,0,4,6,1,0,3,5,11,3,7,3,2,3,1,0,11,6,2,0,1,2,3,0
RM94RT,63,18,44,41,58,13,8,9,9,20,9,5,0,25,24,0,2,3,0,8,1,4,7,4,9,2,1,0,1,1,8,7,3,0,1,0,5,1
RM94RU,57,20,46,41,53,6,4,4,12,21,8,5,1,19,14,0,0,0,1,20,2,4,12,4,6,2,2,4,1,1,16,3,1,0,0,2,3,1
RM94RX,110,41,77,73,102,16,11,21,11,30,19,13,0,44,32,8,2,0,1,19,1,8,21,10,8,4,2,5,8,3,23,7,11,0,6,2,6,0
RM94SA,122,42,94,87,114,20,11,15,20,32,15,18,1,65,32,4,0,0,1,19,0,7,25,8,10,7,5,5,5,1,22,8,12,0,1,3,10,4
RM94SB,77,26,55,51,76,19,4,16,11,19,11,8,0,39,19,0,0,0,1,17,0,4,15,5,8,4,3,3,1,1,9,12,4,0,1,1,9,7
RM94SD,111,36,95,91,110,16,2,13,20,29,27,10,0,55,20,0,7,3,2,18,6,6,28,16,6,6,2,4,2,0,20,14,2,0,0,1,8,4
RM94SH,47,13,35,34,44,7,5,7,7,17,7,3,0,15,4,5,0,6,1,11,0,4,8,3,3,1,2,2,1,0,6,4,2,0,0,0,1,1
RM94SJ,74,27,55,54,70,17,5,14,12,24,11,4,0,31,13,2,3,5,1,13,5,9,19,8,7,1,2,8,1,0,13,8,5,0,2,1,6,3
RM94SS,215,56,140,137,206,55,15,56,36,61,30,8,0,84,41,1,6,15,4,49,4,18,20,9,31,3,4,4,4,1,22,22,12,0,1,3,12,16
RM94ST,162,53,109,104,152,36,20,30,21,51,15,11,0,72,32,7,9,11,4,22,3,14,27,11,21,5,4,7,5,0,27,19,7,0,2,2,15,8
RM94SU,118,38,84,79,109,16,14,19,17,39,10,11,1,31,42,2,6,3,2,30,1,9,23,10,10,3,6,4,4,1,18,12,8,0,3,2,4,2
RM94TA,88,34,74,67,86,11,2,12,12,24,15,18,1,49,14,4,3,1,3,13,0,7,25,8,7,6,7,4,0,2,19,12,2,0,1,1,6,2
RM94TB,88,28,58,55,79,19,10,18,7,34,7,5,2,22,11,1,4,5,4,37,1,14,14,6,9,0,4,4,3,2,13,8,6,0,1,0,6,1
RM94TD,124,37,80,74,118,31,10,32,10,40,9,15,0,37,30,5,0,0,11,20,9,12,16,3,14,7,3,3,6,1,19,12,6,0,3,3,7,7
RM94TJ,63,20,49,47,61,12,4,9,12,19,10,10,0,33,18,7,0,0,1,3,1,7,11,3,8,4,2,2,0,1,9,6,5,0,2,1,6,0
RM94TL,45,14,24,24,42,15,5,15,2,19,2,0,0,9,20,0,0,4,2,8,1,6,4,2,6,0,0,2,4,0,6,1,7,0,4,0,0,2
RM94TP,54,18,43,43,53,6,5,6,6,27,5,2,0,3,22,0,5,0,0,19,3,3,12,7,5,2,0,3,1,0,0,0,18,0,1,0,1,0
RM94TS,87,24,62,60,85,25,5,19,16,21,12,10,0,38,10,2,7,2,2,21,5,7,11,3,12,4,2,2,1,0,10,8,6,0,2,1,7,6
RM94TU,55,17,37,36,50,10,6,12,6,17,4,4,0,7,17,0,4,3,3,8,5,3,9,5,5,1,2,1,2,1,8,4,5,0,1,0,4,2
RM94TX,53,16,39,39,50,9,6,6,9,17,7,2,0,23,3,0,8,0,1,17,0,2,8,3,6,2,0,3,2,0,10,5,1,0,1,1,2,2
RM94UL,54,17,45,44,53,13,2,7,9,17,7,7,0,32,13,0,5,0,0,4,0,5,13,6,4,3,2,2,0,0,8,7,2,0,0,0,3,2
RM94UP,51,15,42,40,50,8,2,6,9,19,9,3,0,30,4,7,0,1,0,9,0,4,10,4,5,2,0,4,0,0,9,4,2,0,0,1,2,2
RM94UR,90,31,60,57,83,22,10,18,16,24,17,4,0,44,18,0,0,3,0,24,0,6,14,3,12,2,2,7,4,0,16,12,3,0,0,4,7,8
RM94UT,139,55,84,83,130,36,25,29,5,56,10,3,0,38,11,10,3,7,4,48,6,15,24,8,15,1,1,14,14,1,2,50,3,0,4,0,13,9
RM94UU,41,20,31,27,38,3,4,6,5,10,10,2,2,23,3,1,4,0,0,9,1,1,14,4,3,0,4,6,3,0,8,8,4,0,1,1,5,1
RM94UX,134,40,88,82,127,31,12,32,14,33,17,16,1,59,34,1,0,6,5,23,0,16,23,9,13,9,3,2,4,0,22,11,6,0,2,2,11,10
RM94XA,66,22,47,45,58,9,10,9,7,27,6,2,1,31,16,0,9,3,3,1,1,6,11,4,9,1,2,4,2,0,10,7,5,0,0,0,7,1
RM94XB,49,14,36,34,49,11,3,8,12,13,9,4,0,26,2,5,0,0,0,4,3,2,7,3,6,1,3,0,1,0,8,6,0,0,0,1,5,2
RM94XD,95,28,59,58,87,15,12,23,12,32,8,2,0,21,31,1,3,0,3,29,6,5,11,6,13,1,1,3,3,0,8,9,11,0,0,2,6,2
RM94XE,50,16,39,39,49,8,2,7,11,19,9,2,0,33,0,0,0,0,1,16,0,2,10,7,4,1,0,2,2,0,0,0,16,0,0,0,6,3
RM94XH,80,18,58,57,79,13,2,20,11,28,12,2,1,11,35,0,0,0,8,20,4,6,9,7,7,1,0,1,1,1,11,3,4,0,2,0,1,0
RM94XL,47,11,29,29,43,16,7,10,6,16,3,1,0,9,8,5,13,3,0,5,3,9,1,0,10,0,1,0,0,0,7,2,2,0,1,1,1,1
RM94XP,81,40,61,57,77,12,5,15,2,36,5,8,0,26,12,2,3,7,3,21,4,9,29,4,10,2,5,18,1,0,9,20,11,0,2,2,13,1
RM94XR,53,18,41,36,50,7,4,7,7,15,9,8,1,32,11,0,5,0,1,1,2,2,10,2,7,4,2,2,0,0,6,7,4,0,3,1,5,1
RM94XS,107,31,77,72,102,20,12,17,13,32,13,12,0,40,13,2,7,3,1,35,6,9,16,5,9,3,3,5,3,3,14,6,11,0,2,0,6,3
RM94XT,129,33,85,77,127,43,6,30,31,21,30,8,1,21,9,6,5,13,7,64,0,18,11,3,21,4,2,2,0,1,12,16,5,0,4,2,8,7
RM94XU,179,57,129,112,171,43,12,34,32,39,33,21,1,53,22,7,8,7,6,62,4,20,34,9,17,7,10,8,5,1,32,13,12,0,5,2,9,3
RM94XW,118,36,73,73,107,26,16,27,16,42,14,1,0,15,21,1,9,21,4,37,3,14,15,7,15,0,1,7,5,0,13,4,19,0,3,3,6,4
RM94YB,45,11,28,24,42,11,7,10,2,13,6,6,0,18,12,0,0,3,0,12,0,3,4,0,6,2,1,1,0,1,7,1,3,0,1,1,0,0
RM95AA,143,56,113,110,139,22,12,17,16,47,27,11,0,62,29,1,6,6,0,33,1,13,41,13,13,5,3,20,1,1,22,23,11,0,2,1,10,2
