POSTCODE,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,RM2018_01,RM2018_02,RM2018_02a,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_40,RM2018_41,RM2018_42,RM2018_43
IG110AY,35,8,20,18,33,13,4,10,6,4,7,1,1,4,3,2,3,0,2,17,2,11,1,0,6,1,0,0,0,1,0,0,8,0,6,0,2,0
IG110BH,124,43,97,87,120,13,8,16,24,31,18,16,0,39,20,8,5,30,5,10,1,11,28,8,11,7,5,8,2,2,32,1,10,0,2,1,2,0
IG110BJ,174,54,128,122,165,29,21,24,21,55,22,10,1,42,39,11,10,12,5,42,5,21,36,17,14,7,3,9,4,0,38,0,16,0,2,5,2,1
IG110BL,232,63,168,158,219,42,20,42,27,73,33,16,2,50,37,30,19,19,5,57,2,24,33,14,23,8,3,8,3,1,40,3,20,0,2,2,8,5
IG110BN,110,32,78,74,105,19,9,20,18,29,14,11,0,35,18,12,7,4,3,23,4,11,18,8,7,3,2,5,4,3,22,3,7,0,2,5,5,0
IG110BQ,71,22,57,55,69,16,4,8,17,19,8,6,0,16,10,2,10,21,1,9,0,11,14,7,7,2,1,4,0,1,19,0,3,0,0,0,0,1
IG110BW,85,21,57,56,82,11,9,14,21,22,12,4,0,11,23,1,0,10,2,29,5,9,8,3,10,2,1,2,3,0,15,0,6,0,1,1,2,2
IG110ES,39,37,39,15,39,0,0,0,1,1,0,31,4,25,4,0,0,0,1,8,1,0,37,0,0,2,33,2,0,0,0,0,31,0,1,0,30,0
IG110EY,23,4,17,17,23,3,0,6,5,13,1,0,0,1,9,0,5,0,3,2,1,3,1,1,3,0,0,0,0,0,2,0,2,0,0,0,1,0
IG110FA,147,39,100,98,143,33,13,32,31,52,7,5,0,34,34,7,8,19,10,28,2,19,13,6,23,1,1,5,1,2,16,0,23,0,2,0,9,8
IG110FB,45,11,28,28,42,7,4,13,7,14,7,0,0,3,2,0,5,0,2,31,2,4,5,4,4,0,0,1,2,0,4,0,7,0,0,0,5,1
IG110FD,27,4,21,21,26,8,1,5,14,4,5,0,0,0,0,0,0,7,0,15,0,8,0,0,4,0,0,0,0,0,0,4,0,0,1,0,2,2
IG110FE,29,6,16,16,29,11,2,11,4,11,2,0,0,20,5,0,0,0,0,3,0,2,1,1,5,0,0,0,0,0,2,4,0,0,1,0,1,5
IG110FF,53,7,36,36,51,15,3,13,24,4,10,0,0,14,2,0,0,0,5,30,2,6,0,0,7,0,0,0,0,0,0,7,0,0,0,0,2,1
IG110FG,21,5,14,13,20,5,1,6,6,5,2,1,0,0,6,2,0,0,0,13,0,1,1,0,2,0,0,1,1,1,1,0,4,0,1,0,0,0
IG110FH,98,18,53,52,92,45,8,33,26,19,11,2,0,23,7,0,7,8,6,35,11,21,2,1,11,0,0,1,3,2,2,0,16,0,3,0,6,14
IG110FL,41,16,28,27,37,1,7,6,0,23,3,2,0,9,3,1,16,3,5,0,0,1,9,3,6,0,1,5,0,1,14,0,2,0,1,1,1,0
IG110FN,29,6,13,13,28,11,3,13,1,11,1,0,0,8,0,0,0,6,1,11,2,7,1,0,4,0,0,1,1,0,0,6,0,0,0,0,2,1
IG110FP,38,10,22,22,36,14,3,11,7,9,7,0,0,14,2,0,4,0,2,15,1,3,3,3,3,0,0,0,4,0,0,0,10,0,2,0,6,8
IG110FQ,160,74,109,107,138,20,37,14,5,83,13,6,0,36,43,16,5,7,8,31,9,9,42,5,25,4,0,33,6,0,40,0,34,0,2,1,6,1
IG110FR,41,7,22,22,40,19,3,16,7,12,3,0,0,20,4,0,0,0,5,9,1,6,0,0,7,0,0,0,0,0,1,0,6,0,0,0,2,3
IG110FS,50,12,35,35,48,10,4,9,11,15,5,1,0,7,2,0,3,1,1,33,1,6,5,3,6,0,0,2,0,1,4,0,8,0,3,0,0,2
IG110FT,39,11,24,24,37,11,4,9,6,14,5,0,0,5,8,2,16,0,1,6,0,9,4,2,7,0,0,2,0,0,4,0,7,0,0,0,2,3
IG110FW,35,9,25,25,35,8,2,8,5,12,3,0,0,13,0,0,9,1,0,11,0,3,4,2,5,0,0,2,0,0,6,0,3,0,0,0,0,0
IG110FX,111,44,71,70,105,29,12,28,12,50,10,2,0,21,10,4,1,10,9,51,3,13,22,3,15,0,0,19,5,2,13,0,31,0,2,0,6,4
IG110GD,32,12,19,19,30,7,5,7,3,11,6,0,0,2,11,0,0,1,1,17,0,6,4,1,5,0,0,3,3,0,4,0,8,0,1,0,0,0
IG110GE,56,21,35,35,54,17,6,13,3,22,7,2,0,5,5,3,0,0,1,40,1,14,10,4,7,1,0,5,2,1,0,19,2,0,1,0,0,0
IG110GF,52,17,30,29,50,16,6,16,3,17,4,1,0,7,13,3,7,0,1,21,0,14,7,2,6,0,1,4,4,0,8,0,9,0,2,0,3,0
IG110GG,74,22,39,38,72,23,6,29,2,25,6,3,0,14,23,6,0,0,9,20,0,17,6,1,6,0,0,5,6,3,7,0,15,0,5,0,3,0
IG110GH,102,41,74,74,96,18,8,19,8,47,11,4,0,16,23,3,9,5,4,38,2,15,25,7,13,4,0,14,3,0,9,5,27,0,2,1,1,2
IG110GJ,107,35,65,65,102,32,13,29,12,38,12,1,0,15,24,5,4,4,7,43,0,24,13,4,14,1,0,8,7,0,9,4,22,0,4,0,5,5
IG110GN,45,20,29,29,42,7,6,10,3,16,8,0,0,9,10,0,0,2,1,20,0,3,11,2,5,0,0,9,4,0,9,0,11,0,0,2,1,0
IG110GP,58,20,36,36,54,13,7,14,5,29,3,1,0,6,18,0,6,0,0,22,2,11,6,2,9,0,1,3,5,0,9,0,11,0,2,0,3,2
IG110GQ,100,39,71,71,97,22,6,21,10,36,18,1,0,45,13,1,5,3,1,28,3,8,22,11,14,0,1,10,2,0,0,5,34,0,0,1,13,3
IG110GR,27,12,17,17,24,6,5,5,0,11,4,0,0,3,3,2,1,0,0,17,0,4,6,2,3,0,0,4,3,0,5,0,7,0,2,1,0,0
IG110GS,39,11,27,27,38,7,3,7,5,15,3,2,0,4,7,0,3,13,1,8,2,7,5,3,4,0,1,1,1,1,5,0,6,0,1,0,0,0
IG110GT,58,18,37,35,56,14,6,14,2,24,4,2,0,21,8,11,5,4,0,6,1,8,6,3,10,1,0,2,1,1,2,16,0,0,0,1,0,0
IG110GU,207,68,136,133,192,42,23,45,26,80,22,5,1,29,23,29,12,28,3,65,5,24,30,14,26,3,0,13,8,2,41,2,24,0,3,1,6,5
IG110GW,75,20,39,39,70,23,7,27,6,23,11,0,0,10,16,0,8,4,3,29,0,16,4,2,11,0,0,2,5,0,14,0,6,0,1,1,3,2
IG110GX,158,51,123,123,151,32,11,23,33,56,23,3,0,56,23,3,5,5,2,60,2,17,29,17,18,2,0,10,4,0,1,11,39,0,0,1,8,8
IG110GY,100,27,63,63,92,12,9,25,21,30,16,0,0,10,32,2,8,0,2,37,4,6,10,5,15,0,0,5,2,0,6,0,21,0,1,1,9,6
IG110GZ,28,8,13,13,25,3,6,9,1,11,1,0,0,1,2,4,0,4,3,14,0,3,2,0,5,0,0,2,0,0,4,0,4,0,0,2,0,0
IG110HA,66,16,39,39,64,15,4,20,8,22,8,2,0,6,3,0,13,0,5,35,1,10,4,2,9,0,0,2,1,2,11,0,5,0,1,1,1,0
IG110HY,36,9,25,25,34,9,3,7,6,14,3,1,0,4,6,1,8,0,2,9,0,3,1,1,6,0,0,0,0,1,5,0,4,0,1,0,0,0
IG110JY,125,40,96,90,117,21,9,17,24,33,26,6,2,43,18,0,1,27,2,31,0,15,23,10,13,4,1,8,2,2,21,10,9,0,2,2,6,4
IG110JZ,102,48,72,72,87,13,20,9,11,49,12,2,0,27,29,1,6,1,0,32,4,7,29,5,11,0,2,22,8,0,4,35,9,0,0,2,16,1
IG110LA,132,46,97,93,123,22,13,21,18,35,23,7,2,38,14,3,15,29,5,17,0,11,25,7,15,2,4,12,3,1,26,12,8,0,2,3,10,1
IG110LB,59,17,38,37,57,19,3,14,12,19,2,4,0,13,12,0,3,19,0,10,0,16,8,1,8,1,1,5,0,1,4,9,4,0,3,0,5,2
IG110LD,53,22,43,38,51,6,3,7,2,15,5,13,0,24,7,1,5,3,2,8,3,3,15,1,5,6,2,6,1,1,7,12,2,0,1,1,7,0
IG110LE,142,52,93,90,135,40,13,35,17,47,16,7,1,44,31,4,9,6,3,32,7,24,29,12,15,2,5,10,7,0,22,21,8,0,7,3,11,8
IG110LF,191,60,114,112,178,53,25,49,17,51,29,8,0,64,34,4,11,13,2,56,3,40,25,9,25,1,6,9,9,1,17,28,15,0,5,1,18,7
IG110LH,70,32,52,51,64,13,7,10,5,31,10,3,0,14,11,0,2,4,2,34,1,7,20,7,7,1,1,11,5,0,3,25,4,0,2,0,10,5
IG110LJ,118,39,83,82,115,31,7,26,20,38,18,7,0,33,16,1,4,18,10,30,0,18,21,6,12,3,1,11,6,0,8,23,8,0,3,1,14,4
IG110LL,81,25,48,48,77,24,8,25,6,26,8,5,0,10,6,3,8,4,2,46,2,16,10,2,10,1,1,6,4,1,7,5,2,11,4,0,3,11
IG110LP,40,10,25,21,38,15,4,9,11,6,4,4,0,15,8,0,8,0,1,5,3,8,3,0,6,1,2,0,1,0,2,6,2,0,3,1,3,0
IG110LQ,22,7,19,18,21,2,2,1,4,8,4,2,0,7,1,0,2,10,0,1,0,2,5,1,2,2,0,2,0,0,4,1,2,0,0,2,1,0
IG110LR,162,50,126,117,159,30,6,27,23,58,23,13,1,52,24,8,8,27,1,35,4,21,30,14,17,6,5,5,1,1,25,16,9,0,5,2,6,3
IG110LS,80,48,56,56,70,13,13,11,2,34,10,2,0,16,18,1,0,3,1,36,4,9,32,2,6,0,2,28,10,0,6,38,4,0,1,0,16,4
IG110LX,209,63,143,137,196,53,23,41,23,59,22,22,1,59,36,1,3,43,2,52,11,28,34,7,21,9,10,8,7,1,25,29,8,0,5,3,19,6
IG110LY,138,35,102,96,136,27,5,29,23,50,15,5,3,34,27,9,20,12,3,23,6,14,17,5,16,2,4,6,0,1,17,10,8,0,5,3,6,6
IG110NF,42,16,32,30,41,8,3,6,10,11,6,2,0,18,4,5,1,1,1,10,1,3,11,3,4,0,2,6,1,0,9,5,2,0,1,0,3,0
IG110NG,88,38,67,63,80,8,10,10,9,35,12,10,0,22,8,7,7,24,1,12,3,6,29,7,7,3,4,15,1,1,19,14,5,0,1,1,8,1
IG110NH,67,18,48,47,63,16,8,10,11,22,4,6,0,33,6,1,1,6,2,12,0,5,8,2,9,3,1,2,0,1,5,11,2,0,1,1,5,5
IG110NJ,126,34,86,85,118,19,12,27,16,41,14,7,0,33,18,0,11,14,1,41,7,12,18,4,12,3,2,9,4,0,14,12,8,0,5,0,9,1
IG110NL,215,60,135,130,203,56,26,46,34,68,24,9,0,77,27,3,4,30,4,58,6,30,23,12,26,2,3,6,9,2,16,32,12,0,5,3,15,17
IG110NN,82,41,60,51,75,12,10,10,7,25,9,15,0,27,20,3,2,2,1,25,0,10,29,4,4,3,9,13,7,1,6,35,0,0,3,0,22,4
IG110NP,117,32,77,72,110,27,11,23,17,38,12,6,0,27,16,7,5,33,6,19,1,20,12,2,17,4,1,5,3,0,17,10,5,0,0,1,8,6
IG110NQ,74,23,51,49,70,16,5,15,15,19,8,6,0,13,7,1,0,1,2,46,2,13,16,4,7,3,1,8,0,0,3,18,2,0,1,0,8,2
IG110NR,108,38,76,74,99,20,12,19,10,33,24,4,0,35,25,7,6,4,2,23,6,10,24,11,9,1,3,9,5,0,13,19,5,0,3,1,7,2
IG110NS,116,40,88,84,111,16,8,19,13,41,21,8,0,35,23,0,15,7,1,33,1,8,25,9,12,3,4,9,2,1,17,15,8,0,2,1,12,5
IG110NU,130,45,99,93,121,17,14,16,11,41,21,11,2,45,7,2,17,25,0,27,4,10,31,12,14,5,5,9,0,0,25,13,7,0,2,2,9,2
IG110NW,214,63,148,140,204,54,19,42,28,68,24,21,1,64,50,6,14,25,5,44,2,36,28,8,27,10,4,6,4,4,22,35,6,0,2,1,12,9
IG110NX,58,24,38,38,55,17,8,10,6,21,8,2,0,13,3,0,1,9,5,22,0,11,15,4,7,1,0,10,2,0,5,11,8,0,1,0,10,9
IG110NY,45,21,31,31,44,11,1,12,1,18,8,2,0,12,3,0,0,0,4,25,1,9,14,3,4,1,1,9,3,0,2,19,0,0,0,1,11,0
IG110NZ,42,20,28,28,35,8,7,7,5,17,5,0,0,12,16,0,0,0,0,12,1,5,11,2,4,0,0,9,5,0,1,17,2,0,2,0,5,3
IG110PB,184,38,106,103,172,58,21,47,44,46,20,2,1,42,23,8,17,15,2,68,6,27,6,3,27,2,0,1,4,1,11,0,27,0,4,0,12,13
IG110PD,54,19,40,40,52,10,3,11,4,29,3,0,0,12,7,3,3,4,2,21,0,8,11,6,6,0,0,5,2,0,7,0,11,0,1,0,3,0
IG110PE,47,21,31,31,40,6,13,3,1,24,5,0,0,1,5,0,1,3,1,31,2,4,12,5,4,0,0,7,5,0,0,0,0,21,5,0,5,0
IG110PF,71,24,51,47,68,15,5,14,9,26,7,8,0,39,5,2,1,6,0,15,3,5,15,6,4,2,2,5,3,1,6,16,2,0,1,0,11,6
IG110PG,202,57,137,130,192,43,21,40,33,61,22,15,1,84,33,7,5,13,5,38,6,14,27,8,23,5,8,6,4,2,28,19,10,0,3,2,15,9
IG110PH,83,33,57,57,76,16,10,12,14,24,15,2,0,20,3,0,2,23,3,29,2,8,21,5,8,1,1,14,3,0,11,19,3,0,3,0,6,1
IG110PJ,73,25,57,57,69,12,7,8,14,16,16,4,0,23,18,2,0,5,1,18,5,7,16,5,8,2,1,8,1,0,7,13,5,0,3,1,7,2
IG110PL,104,28,87,82,100,11,5,10,28,31,16,8,2,21,20,5,9,6,1,39,0,7,16,8,9,3,2,3,1,2,18,6,4,0,0,0,4,0
IG110PN,80,37,61,60,79,15,4,13,10,29,13,4,0,26,18,0,0,3,2,28,3,10,26,5,7,2,2,17,4,0,11,23,3,0,1,1,11,3
IG110PP,96,41,76,73,85,5,13,7,12,40,12,7,0,18,24,0,4,15,0,34,0,5,31,4,8,2,3,22,1,1,11,21,9,0,1,5,11,0
IG110PQ,90,47,70,70,81,9,12,8,7,40,14,5,0,17,23,4,4,3,3,33,2,4,31,8,8,1,3,19,8,0,8,32,7,0,3,0,16,2
IG110PR,27,1,17,17,23,2,8,2,7,9,2,0,0,13,1,0,0,3,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
IG110PS,142,41,76,76,132,39,22,42,11,51,13,0,0,40,17,0,1,7,4,68,2,16,13,4,20,0,0,9,7,0,2,36,3,0,7,0,15,13
IG110PT,124,39,63,63,113,41,19,39,11,41,11,1,0,27,33,0,9,9,7,33,6,24,9,1,15,1,0,7,13,0,4,25,10,0,7,0,11,9
IG110PU,192,58,107,104,176,61,24,56,21,54,19,9,0,52,13,0,0,8,10,91,14,32,19,7,23,5,1,6,13,2,8,42,8,0,9,0,18,13
IG110PW,69,22,53,53,66,9,7,8,12,29,3,4,0,21,5,3,4,12,0,22,0,3,12,6,7,3,0,3,3,0,13,7,2,0,1,1,4,1
IG110PX,35,12,26,25,32,5,4,4,9,10,6,2,0,9,6,0,0,2,3,13,0,2,7,3,4,1,1,2,1,0,4,4,4,0,0,0,2,3
IG110PY,104,28,75,73,98,20,6,20,26,27,12,4,1,28,10,9,1,9,3,38,0,15,14,6,12,2,3,3,2,0,16,5,7,0,2,1,2,1
IG110PZ,92,24,59,57,85,20,9,22,12,32,10,5,0,21,6,0,1,7,1,51,3,11,10,6,8,1,1,2,4,2,7,15,2,0,3,0,7,8
IG110QA,167,44,109,107,156,34,18,37,35,40,23,8,0,59,12,3,5,21,3,51,5,12,15,5,20,3,3,4,6,2,16,20,7,0,3,2,9,9
IG110QE,33,8,22,22,33,14,0,11,11,9,3,0,0,12,7,0,6,0,1,6,0,8,3,2,5,0,0,1,0,0,0,8,0,0,0,0,5,6
IG110QF,42,21,31,31,36,4,8,3,1,23,4,1,0,11,10,0,0,0,2,17,2,2,15,4,3,1,0,10,3,0,0,0,0,21,3,0,4,1
IG110QG,52,23,32,32,48,14,6,14,4,16,3,3,0,15,14,0,2,0,4,14,1,6,13,2,4,0,3,8,6,0,2,18,3,0,2,0,10,1
IG110QH,34,7,26,26,33,6,2,5,6,9,7,3,0,15,2,0,7,1,0,8,0,1,2,0,4,1,1,0,0,1,1,6,0,0,0,0,4,3
IG110QJ,149,48,80,80,136,52,22,44,11,53,15,1,0,61,14,0,2,9,1,51,7,19,16,4,19,0,0,12,12,1,6,40,2,0,3,1,21,18
IG110QL,64,24,52,50,64,12,1,11,12,15,13,3,0,19,0,2,1,10,1,27,4,4,17,7,6,0,3,7,1,0,6,15,3,0,1,1,8,2
IG110QN,163,33,87,84,157,62,18,53,28,38,18,4,0,27,9,7,0,24,5,83,6,36,7,1,20,1,2,3,5,1,8,2,3,20,2,1,10,16
IG110QQ,57,14,37,36,55,16,2,15,10,17,7,1,1,23,12,3,0,10,2,5,0,12,6,3,7,1,1,1,1,0,6,5,3,0,0,2,5,9
IG110QX,72,34,56,55,66,8,10,5,5,28,14,4,0,27,11,0,4,6,2,19,1,4,24,7,6,3,0,14,4,0,9,21,4,0,3,0,10,2
IG110QY,65,30,53,52,61,7,6,6,3,30,9,3,0,15,6,2,14,1,0,21,0,6,24,4,6,2,0,18,0,0,8,20,2,0,1,2,8,0
IG110QZ,23,8,19,18,21,3,2,1,3,7,3,3,1,9,8,0,0,0,0,6,0,2,5,2,2,1,2,0,1,0,6,1,1,0,0,0,0,0
IG110RB,186,59,147,132,183,37,8,29,30,43,29,20,2,72,25,5,13,10,2,50,6,18,34,12,20,11,3,8,2,3,35,17,7,0,2,2,5,7
IG110RD,63,22,49,42,60,10,4,8,13,22,7,9,0,19,22,0,4,0,3,14,0,8,14,4,7,2,6,2,1,0,6,9,7,0,2,0,9,0
IG110RE,80,27,52,48,77,23,6,21,8,25,6,11,0,25,8,0,0,8,0,36,0,16,13,3,9,6,2,2,5,0,7,8,1,11,1,1,4,3
IG110RF,39,21,30,30,34,3,8,1,1,26,1,0,0,7,6,1,4,0,2,14,0,2,13,4,5,0,0,9,3,0,0,0,0,21,1,0,2,0
IG110RP,42,21,30,30,39,6,6,6,8,15,8,0,0,14,4,0,0,1,1,22,0,5,14,3,2,0,0,11,5,0,0,0,0,21,3,0,7,1
IG110RS,52,20,31,31,45,8,15,5,3,24,3,0,0,5,3,0,2,2,0,36,0,7,9,2,5,0,0,7,6,0,0,0,0,19,2,1,3,2
IG110RT,63,16,33,33,58,17,8,21,7,20,7,0,0,6,4,1,1,0,3,45,2,9,5,4,7,0,0,1,4,0,0,0,0,16,1,0,3,3
IG110RU,67,16,41,41,63,21,8,17,11,17,9,1,0,3,5,5,4,0,4,43,3,11,4,3,9,1,0,0,2,0,0,0,0,16,2,0,3,0
IG110RX,60,15,31,31,57,28,8,20,4,17,11,0,0,4,3,0,4,0,2,40,7,18,2,1,10,0,0,1,3,0,0,0,0,15,2,0,2,6
IG110RY,71,17,41,41,67,24,8,20,11,16,12,2,0,1,5,0,6,0,6,53,0,17,6,3,8,1,0,2,1,1,0,0,0,17,3,0,3,0
IG110RZ,59,14,24,24,58,26,3,30,3,19,4,0,0,13,3,0,1,4,1,37,0,14,3,0,7,0,0,3,3,0,0,0,0,14,1,0,2,7
IG110SF,60,13,31,31,59,24,4,23,9,15,7,0,0,7,2,0,0,6,7,38,0,12,2,1,9,0,0,1,2,0,0,0,0,12,1,0,1,0
IG110SP,138,33,72,71,131,52,17,45,15,42,16,2,0,16,10,0,10,5,6,81,3,31,5,2,22,0,0,3,4,2,0,0,0,33,6,0,9,2
IG110TB,137,41,61,61,121,42,27,48,13,40,10,1,0,34,14,0,3,8,6,58,9,19,4,0,17,0,0,4,17,1,1,0,40,0,13,0,17,19
IG110TD,216,71,110,110,195,71,43,58,34,70,13,0,0,55,17,2,4,3,10,111,2,37,18,3,25,0,0,15,26,0,1,0,70,0,13,0,39,15
IG110TE,83,34,55,55,71,9,16,10,8,41,10,0,0,10,28,8,16,7,1,11,0,7,23,8,7,0,0,15,4,0,21,0,13,0,2,0,2,0
IG110TF,35,21,28,28,34,5,2,5,1,22,4,0,0,3,8,2,5,1,1,12,0,2,16,5,2,0,0,11,3,0,10,0,11,0,0,0,0,0
IG110TH,143,63,102,102,126,12,24,16,9,81,9,2,0,12,56,16,11,13,9,16,3,8,34,10,17,0,0,24,10,2,44,0,19,0,2,0,3,3
IG110TN,22,12,19,19,20,1,2,1,1,12,6,0,0,9,13,0,0,0,0,0,0,1,10,5,1,0,0,5,0,0,10,0,2,0,0,0,0,1
IG110TY,141,36,98,92,135,31,10,31,23,42,14,8,2,65,9,0,1,12,1,51,1,10,19,10,15,4,2,3,1,1,16,17,3,0,0,0,12,6
IG110UA,80,24,59,56,76,10,9,11,17,16,14,10,1,48,5,1,1,0,2,20,2,0,14,5,9,3,6,0,1,0,9,11,4,0,1,0,7,4
IG110UB,42,16,36,34,41,3,1,5,5,14,6,6,0,12,3,2,0,5,1,16,0,3,13,4,3,3,3,3,0,0,9,6,1,0,1,1,2,0
IG110UD,133,40,92,89,130,40,6,34,25,30,23,7,1,58,23,9,4,0,6,33,0,15,19,5,19,4,3,7,2,0,16,21,3,0,3,2,11,4
IG110UE,60,28,45,39,58,7,4,10,5,14,6,15,1,35,8,0,4,0,3,6,1,2,20,4,5,5,7,4,3,0,11,15,2,0,1,0,11,2
IG110UF,20,7,13,13,16,2,6,0,2,11,0,0,0,0,3,3,2,0,0,12,0,2,1,0,5,0,0,1,1,0,6,0,1,0,0,0,1,0
IG110UG,43,11,27,24,42,7,5,11,5,9,6,4,0,26,3,0,0,0,1,11,2,2,5,2,4,3,0,0,2,0,4,5,2,0,1,1,4,4
IG110UH,148,43,116,107,144,25,8,23,21,42,23,17,0,70,13,0,12,12,3,31,4,10,28,13,12,7,6,2,2,1,23,15,5,0,2,1,5,0
IG110UJ,71,22,55,50,70,12,5,11,10,21,11,9,0,42,14,0,1,10,0,4,0,4,14,7,6,3,3,1,1,1,12,9,1,0,1,0,1,2
IG110UL,108,33,78,69,102,23,9,19,18,28,17,13,1,76,12,0,10,0,0,7,3,5,16,5,11,5,5,1,4,1,20,13,0,0,0,2,8,10
IG110UQ,46,13,25,23,46,18,5,16,4,14,2,4,0,19,2,0,4,0,0,17,0,8,4,1,7,2,0,1,2,0,3,7,3,0,1,0,3,1
IG110UR,199,79,111,111,182,52,29,55,25,69,18,0,0,48,32,1,4,16,12,72,8,26,36,9,20,0,0,27,21,0,7,0,72,0,14,0,31,13
IG110US,101,48,71,71,91,10,20,10,5,55,10,1,0,12,9,1,2,5,3,62,2,4,28,8,12,1,0,19,8,0,9,0,39,0,4,0,0,0
IG110UW,28,11,22,22,24,2,5,1,3,13,4,0,0,3,6,0,2,0,0,15,0,0,6,4,4,0,0,2,1,0,9,0,2,0,1,0,1,0
IG110XE,21,8,16,16,20,4,1,4,2,5,5,1,0,4,5,5,0,1,1,5,0,4,6,2,2,0,1,3,0,0,5,0,3,0,0,0,0,1
IG110XG,106,41,64,64,102,25,12,30,8,27,16,6,0,13,27,4,6,11,4,39,0,21,21,2,12,2,3,14,7,0,28,0,12,0,2,4,4,1
IG110XH,126,53,83,83,113,24,20,23,8,55,15,0,0,12,31,4,4,11,4,51,2,19,28,8,14,0,0,20,8,0,19,0,33,0,4,1,6,5
IG110XJ,129,41,78,77,119,34,18,32,8,41,19,4,1,16,37,8,10,20,7,27,2,23,18,10,16,1,3,4,6,1,24,0,17,0,4,1,3,0
IG110XL,117,33,77,76,109,19,11,25,14,46,11,4,0,24,26,10,11,12,4,27,1,9,9,4,16,3,0,2,7,1,16,2,15,0,4,1,4,2
IG110XN,132,47,75,74,123,26,16,38,11,50,10,3,0,15,31,15,8,5,5,43,5,17,19,7,15,1,1,10,10,1,16,0,30,0,9,4,5,3
IG110XP,81,32,48,48,75,14,11,21,6,29,9,1,0,13,17,0,4,10,0,35,0,12,19,3,8,0,1,15,5,0,14,0,18,0,1,4,1,2
IG110XQ,133,40,91,90,125,26,14,27,20,35,20,9,0,27,32,4,6,9,2,48,4,14,17,10,13,0,2,5,5,4,21,0,19,0,1,2,4,6
IG110XR,144,45,80,79,138,44,10,47,16,41,20,4,0,21,23,11,7,7,6,62,1,29,13,6,18,1,1,5,12,1,26,0,19,0,5,2,3,2
IG110XS,149,51,109,107,144,27,9,28,24,48,28,5,0,78,7,1,4,6,3,35,11,8,29,13,16,3,1,12,5,1,10,14,27,0,2,0,20,8
IG110XU,28,12,15,15,22,4,10,3,1,12,2,0,0,4,3,0,0,0,0,17,2,3,4,2,3,0,0,2,3,0,4,0,7,0,4,0,1,0
IG110XW,200,59,118,118,181,52,28,50,24,65,27,1,0,27,47,5,7,20,6,80,3,33,21,10,26,1,0,10,11,0,31,0,27,0,3,1,7,2
IG110XY,82,28,53,53,74,17,12,17,10,31,8,2,0,7,19,2,0,12,2,36,2,11,14,3,11,1,1,9,3,0,10,0,18,0,3,2,7,4
IG110XZ,60,22,39,39,56,8,8,12,6,18,13,0,0,14,3,1,2,0,3,27,2,3,12,5,7,0,0,7,2,0,11,0,11,0,4,0,1,0
IG110YA,51,20,35,35,48,11,5,11,4,20,4,1,0,5,3,1,6,11,2,18,0,10,11,4,6,1,0,6,3,0,10,0,10,0,6,1,0,0
IG117AB,144,45,90,83,135,36,13,41,13,41,18,12,0,29,27,5,10,9,3,52,1,28,23,8,15,4,5,6,5,1,8,32,5,0,1,1,15,5
IG117AD,96,31,66,63,92,21,6,18,18,35,10,7,0,21,11,1,17,7,7,23,3,15,16,7,8,2,3,4,6,1,13,17,1,0,6,1,2,0
IG117AE,56,22,41,39,54,13,3,11,7,21,8,4,0,13,3,9,4,0,3,22,1,6,13,4,6,2,2,5,2,0,6,15,0,0,3,1,6,5
IG117AF,247,94,167,164,236,49,27,51,19,97,35,11,0,32,45,36,22,15,3,75,8,32,47,17,26,3,2,25,16,3,14,0,80,0,7,2,16,9
IG117AJ,113,31,77,77,111,35,7,26,21,30,17,5,0,19,33,5,12,1,6,35,0,27,16,8,11,2,2,4,4,0,8,18,5,0,3,0,12,10
IG117AL,74,24,56,55,69,10,6,11,18,21,12,4,0,11,28,2,4,2,2,19,5,6,16,9,4,1,3,3,4,0,7,13,4,0,3,0,7,1
IG117BB,113,51,85,85,109,16,10,18,14,64,7,0,0,22,54,14,2,3,3,12,0,13,31,11,14,0,0,20,6,0,18,0,32,0,4,0,5,0
IG117BE,79,23,45,45,71,15,13,21,3,37,6,0,0,4,30,14,6,11,0,13,0,13,4,2,15,0,0,2,2,0,4,0,19,0,5,0,4,3
IG117BF,62,22,41,41,57,9,11,10,3,33,4,1,0,11,14,6,9,1,4,12,1,8,13,7,6,0,1,5,3,0,7,0,14,0,2,0,4,0
IG117BH,71,23,43,43,63,15,12,16,3,36,2,0,0,10,29,7,8,4,2,10,0,12,7,1,13,0,0,6,3,0,5,0,18,0,3,1,4,4
IG117BU,55,23,34,34,48,10,11,9,4,24,4,1,0,3,14,11,5,10,3,5,0,9,12,1,6,0,0,11,3,1,5,0,18,0,3,1,2,1
IG117BX,42,19,28,28,35,5,8,6,2,15,7,0,0,6,16,2,1,2,1,13,0,5,7,2,6,0,0,5,5,0,6,0,13,0,3,0,2,2
